prompt name,ID,Result
Generate an image of a famous landmark,round-00,0.2842
Generate an image of a famous landmark,round-00,0.263
Generate an image of a famous landmark,round-00,0.2795
Generate an image of a famous landmark,round-00,0.2866
Generate an image of a famous landmark,round-00,0.1277
Generate an image of a famous landmark,round-00,0.2566
Generate an image of a famous landmark,round-00,0.2874
Generate an image of a famous landmark,round-00,0.3052
Generate an image of a famous landmark,round-01,0.2808
Generate an image of a famous landmark,round-01,0.2244
Generate an image of a famous landmark,round-01,0.2932
Generate an image of a famous landmark,round-01,0.2568
Generate an image of a famous landmark,round-01,0.2832
Generate an image of a famous landmark,round-01,0.283
Generate an image of a famous landmark,round-01,0.2559
Generate an image of a famous landmark,round-01,0.3235
Generate an image of a famous landmark,round-02,0.2883
Generate an image of a famous landmark,round-02,0.2766
Generate an image of a famous landmark,round-02,0.2915
Generate an image of a famous landmark,round-02,0.2505
Generate an image of a famous landmark,round-02,0.1323
Generate an image of a famous landmark,round-02,0.1277
Generate an image of a famous landmark,round-02,0.275
Generate an image of a famous landmark,round-02,0.2964
Generate an image of a famous landmark,round-03,0.2598
Generate an image of a famous landmark,round-03,0.2598
Generate an image of a famous landmark,round-03,0.2634
Generate an image of a famous landmark,round-03,0.2927
Generate an image of a famous landmark,round-03,0.2683
Generate an image of a famous landmark,round-03,0.2563
Generate an image of a famous landmark,round-03,0.2576
Generate an image of a famous landmark,round-03,0.2472
Generate an image of a famous landmark,round-04,0.235
Generate an image of a famous landmark,round-04,0.299
Generate an image of a famous landmark,round-04,0.2064
Generate an image of a famous landmark,round-04,0.277
Generate an image of a famous landmark,round-04,0.265
Generate an image of a famous landmark,round-04,0.291
Generate an image of a famous landmark,round-04,0.28
Generate an image of a famous landmark,round-04,0.2842
Generate an image of a famous landmark,round-05,0.2715
Generate an image of a famous landmark,round-05,0.2384
Generate an image of a famous landmark,round-05,0.282
Generate an image of a famous landmark,round-05,0.2742
Generate an image of a famous landmark,round-05,0.2632
Generate an image of a famous landmark,round-05,0.2634
Generate an image of a famous landmark,round-05,0.2527
Generate an image of a famous landmark,round-05,0.2493
Generate an image of a famous landmark,round-06,0.2056
Generate an image of a famous landmark,round-06,0.2578
Generate an image of a famous landmark,round-06,0.2461
Generate an image of a famous landmark,round-06,0.282
Generate an image of a famous landmark,round-06,0.2944
Generate an image of a famous landmark,round-06,0.2869
Generate an image of a famous landmark,round-06,0.2411
Generate an image of a famous landmark,round-06,0.26
Generate an image of a famous landmark,round-07,0.236
Generate an image of a famous landmark,round-07,0.2676
Generate an image of a famous landmark,round-07,0.302
Generate an image of a famous landmark,round-07,0.21
Generate an image of a famous landmark,round-07,0.2744
Generate an image of a famous landmark,round-07,0.2433
Generate an image of a famous landmark,round-07,0.2434
Generate an image of a famous landmark,round-07,0.2205
Generate an image of a famous landmark,round-08,0.2832
Generate an image of a famous landmark,round-08,0.2817
Generate an image of a famous landmark,round-08,0.2632
Generate an image of a famous landmark,round-08,0.2808
Generate an image of a famous landmark,round-08,0.2727
Generate an image of a famous landmark,round-08,0.3203
Generate an image of a famous landmark,round-08,0.28
Generate an image of a famous landmark,round-08,0.2688
Generate an image of a famous landmark,round-09,0.2452
Generate an image of a famous landmark,round-09,0.2988
Generate an image of a famous landmark,round-09,0.286
Generate an image of a famous landmark,round-09,0.2272
Generate an image of a famous landmark,round-09,0.2798
Generate an image of a famous landmark,round-09,0.2637
Generate an image of a famous landmark,round-09,0.2915
Generate an image of a famous landmark,round-09,0.2429
High definition photo of a monument,round-00,0.2893
High definition photo of a monument,round-00,0.2869
High definition photo of a monument,round-00,0.2937
High definition photo of a monument,round-00,0.2416
High definition photo of a monument,round-00,0.2698
High definition photo of a monument,round-00,0.2634
High definition photo of a monument,round-00,0.258
High definition photo of a monument,round-00,0.275
High definition photo of a monument,round-01,0.2668
High definition photo of a monument,round-01,0.2207
High definition photo of a monument,round-01,0.2607
High definition photo of a monument,round-01,0.2678
High definition photo of a monument,round-01,0.2668
High definition photo of a monument,round-01,0.2751
High definition photo of a monument,round-01,0.2595
High definition photo of a monument,round-01,0.2988
High definition photo of a monument,round-02,0.2686
High definition photo of a monument,round-02,0.1357
High definition photo of a monument,round-02,0.2087
High definition photo of a monument,round-02,0.1357
High definition photo of a monument,round-02,0.288
High definition photo of a monument,round-02,0.2666
High definition photo of a monument,round-02,0.2542
High definition photo of a monument,round-02,0.2578
High definition photo of a monument,round-03,0.2483
High definition photo of a monument,round-03,0.2496
High definition photo of a monument,round-03,0.2898
High definition photo of a monument,round-03,0.293
High definition photo of a monument,round-03,0.2664
High definition photo of a monument,round-03,0.1399
High definition photo of a monument,round-03,0.2854
High definition photo of a monument,round-03,0.2527
High definition photo of a monument,round-04,0.2402
High definition photo of a monument,round-04,0.2438
High definition photo of a monument,round-04,0.2642
High definition photo of a monument,round-04,0.2583
High definition photo of a monument,round-04,0.2462
High definition photo of a monument,round-04,0.2637
High definition photo of a monument,round-04,0.2408
High definition photo of a monument,round-04,0.2744
High definition photo of a monument,round-05,0.2673
High definition photo of a monument,round-05,0.2393
High definition photo of a monument,round-05,0.2686
High definition photo of a monument,round-05,0.2527
High definition photo of a monument,round-05,0.2491
High definition photo of a monument,round-05,0.272
High definition photo of a monument,round-05,0.2727
High definition photo of a monument,round-05,0.288
High definition photo of a monument,round-06,0.2776
High definition photo of a monument,round-06,0.2507
High definition photo of a monument,round-06,0.2234
High definition photo of a monument,round-06,0.2983
High definition photo of a monument,round-06,0.2678
High definition photo of a monument,round-06,0.2644
High definition photo of a monument,round-06,0.2756
High definition photo of a monument,round-06,0.2383
High definition photo of a monument,round-07,0.2455
High definition photo of a monument,round-07,0.2822
High definition photo of a monument,round-07,0.272
High definition photo of a monument,round-07,0.2742
High definition photo of a monument,round-07,0.2744
High definition photo of a monument,round-07,0.254
High definition photo of a monument,round-07,0.294
High definition photo of a monument,round-07,0.2474
High definition photo of a monument,round-08,0.268
High definition photo of a monument,round-08,0.2578
High definition photo of a monument,round-08,0.2754
High definition photo of a monument,round-08,0.2585
High definition photo of a monument,round-08,0.251
High definition photo of a monument,round-08,0.2537
High definition photo of a monument,round-08,0.311
High definition photo of a monument,round-08,0.2732
High definition photo of a monument,round-09,0.2566
High definition photo of a monument,round-09,0.2805
High definition photo of a monument,round-09,0.2664
High definition photo of a monument,round-09,0.2605
High definition photo of a monument,round-09,0.2703
High definition photo of a monument,round-09,0.2715
High definition photo of a monument,round-09,0.2886
High definition photo of a monument,round-09,0.258
Image of a tourist attraction,round-00,0.2593
Image of a tourist attraction,round-00,0.2756
Image of a tourist attraction,round-00,0.2964
Image of a tourist attraction,round-00,0.2932
Image of a tourist attraction,round-00,0.2262
Image of a tourist attraction,round-00,0.3208
Image of a tourist attraction,round-00,0.2998
Image of a tourist attraction,round-00,0.2444
Image of a tourist attraction,round-01,0.2754
Image of a tourist attraction,round-01,0.267
Image of a tourist attraction,round-01,0.298
Image of a tourist attraction,round-01,0.2913
Image of a tourist attraction,round-01,0.3135
Image of a tourist attraction,round-01,0.2844
Image of a tourist attraction,round-01,0.2438
Image of a tourist attraction,round-01,0.3125
Image of a tourist attraction,round-02,0.292
Image of a tourist attraction,round-02,0.319
Image of a tourist attraction,round-02,0.243
Image of a tourist attraction,round-02,0.2656
Image of a tourist attraction,round-02,0.2673
Image of a tourist attraction,round-02,0.2727
Image of a tourist attraction,round-02,0.2664
Image of a tourist attraction,round-02,0.2751
Image of a tourist attraction,round-03,0.3015
Image of a tourist attraction,round-03,0.2522
Image of a tourist attraction,round-03,0.2456
Image of a tourist attraction,round-03,0.3125
Image of a tourist attraction,round-03,0.2732
Image of a tourist attraction,round-03,0.291
Image of a tourist attraction,round-03,0.2505
Image of a tourist attraction,round-03,0.2405
Image of a tourist attraction,round-04,0.326
Image of a tourist attraction,round-04,0.3047
Image of a tourist attraction,round-04,0.261
Image of a tourist attraction,round-04,0.2622
Image of a tourist attraction,round-04,0.2776
Image of a tourist attraction,round-04,0.2856
Image of a tourist attraction,round-04,0.2637
Image of a tourist attraction,round-04,0.291
Image of a tourist attraction,round-05,0.2308
Image of a tourist attraction,round-05,0.2382
Image of a tourist attraction,round-05,0.266
Image of a tourist attraction,round-05,0.2747
Image of a tourist attraction,round-05,0.2314
Image of a tourist attraction,round-05,0.2485
Image of a tourist attraction,round-05,0.256
Image of a tourist attraction,round-05,0.291
Image of a tourist attraction,round-06,0.2593
Image of a tourist attraction,round-06,0.2467
Image of a tourist attraction,round-06,0.2455
Image of a tourist attraction,round-06,0.27
Image of a tourist attraction,round-06,0.2969
Image of a tourist attraction,round-06,0.2808
Image of a tourist attraction,round-06,0.2976
Image of a tourist attraction,round-06,0.2622
Image of a tourist attraction,round-07,0.2422
Image of a tourist attraction,round-07,0.2593
Image of a tourist attraction,round-07,0.2754
Image of a tourist attraction,round-07,0.2822
Image of a tourist attraction,round-07,0.2585
Image of a tourist attraction,round-07,0.2815
Image of a tourist attraction,round-07,0.271
Image of a tourist attraction,round-07,0.2786
Image of a tourist attraction,round-08,0.2715
Image of a tourist attraction,round-08,0.2515
Image of a tourist attraction,round-08,0.2988
Image of a tourist attraction,round-08,0.3042
Image of a tourist attraction,round-08,0.2773
Image of a tourist attraction,round-08,0.2896
Image of a tourist attraction,round-08,0.2766
Image of a tourist attraction,round-08,0.3237
Image of a tourist attraction,round-09,0.3032
Image of a tourist attraction,round-09,0.27
Image of a tourist attraction,round-09,0.2593
Image of a tourist attraction,round-09,0.2925
Image of a tourist attraction,round-09,0.3037
Image of a tourist attraction,round-09,0.2566
Image of a tourist attraction,round-09,0.2607
Image of a tourist attraction,round-09,0.2449
Panoramic view of a historic site,round-00,0.2444
Panoramic view of a historic site,round-00,0.2725
Panoramic view of a historic site,round-00,0.2742
Panoramic view of a historic site,round-00,0.2788
Panoramic view of a historic site,round-00,0.25
Panoramic view of a historic site,round-00,0.255
Panoramic view of a historic site,round-00,0.2443
Panoramic view of a historic site,round-00,0.2499
Panoramic view of a historic site,round-01,0.2578
Panoramic view of a historic site,round-01,0.2676
Panoramic view of a historic site,round-01,0.2898
Panoramic view of a historic site,round-01,0.2476
Panoramic view of a historic site,round-01,0.245
Panoramic view of a historic site,round-01,0.1521
Panoramic view of a historic site,round-01,0.2644
Panoramic view of a historic site,round-01,0.2595
Panoramic view of a historic site,round-02,0.2489
Panoramic view of a historic site,round-02,0.2693
Panoramic view of a historic site,round-02,0.2406
Panoramic view of a historic site,round-02,0.264
Panoramic view of a historic site,round-02,0.2482
Panoramic view of a historic site,round-02,0.264
Panoramic view of a historic site,round-02,0.2666
Panoramic view of a historic site,round-02,0.275
Panoramic view of a historic site,round-03,0.265
Panoramic view of a historic site,round-03,0.2379
Panoramic view of a historic site,round-03,0.2269
Panoramic view of a historic site,round-03,0.263
Panoramic view of a historic site,round-03,0.2576
Panoramic view of a historic site,round-03,0.2747
Panoramic view of a historic site,round-03,0.2358
Panoramic view of a historic site,round-03,0.2455
Panoramic view of a historic site,round-04,0.2434
Panoramic view of a historic site,round-04,0.2583
Panoramic view of a historic site,round-04,0.2483
Panoramic view of a historic site,round-04,0.2703
Panoramic view of a historic site,round-04,0.2915
Panoramic view of a historic site,round-04,0.258
Panoramic view of a historic site,round-04,0.2377
Panoramic view of a historic site,round-04,0.26
Panoramic view of a historic site,round-05,0.2783
Panoramic view of a historic site,round-05,0.2488
Panoramic view of a historic site,round-05,0.2637
Panoramic view of a historic site,round-05,0.2502
Panoramic view of a historic site,round-05,0.267
Panoramic view of a historic site,round-05,0.2563
Panoramic view of a historic site,round-05,0.2426
Panoramic view of a historic site,round-05,0.2744
Panoramic view of a historic site,round-06,0.2603
Panoramic view of a historic site,round-06,0.2467
Panoramic view of a historic site,round-06,0.2316
Panoramic view of a historic site,round-06,0.2405
Panoramic view of a historic site,round-06,0.2607
Panoramic view of a historic site,round-06,0.2688
Panoramic view of a historic site,round-06,0.2805
Panoramic view of a historic site,round-06,0.2205
Panoramic view of a historic site,round-07,0.2512
Panoramic view of a historic site,round-07,0.2484
Panoramic view of a historic site,round-07,0.2225
Panoramic view of a historic site,round-07,0.256
Panoramic view of a historic site,round-07,0.25
Panoramic view of a historic site,round-07,0.261
Panoramic view of a historic site,round-07,0.2261
Panoramic view of a historic site,round-07,0.2795
Panoramic view of a historic site,round-08,0.2686
Panoramic view of a historic site,round-08,0.264
Panoramic view of a historic site,round-08,0.2524
Panoramic view of a historic site,round-08,0.272
Panoramic view of a historic site,round-08,0.2295
Panoramic view of a historic site,round-08,0.2563
Panoramic view of a historic site,round-08,0.2615
Panoramic view of a historic site,round-08,0.2878
Panoramic view of a historic site,round-09,0.2761
Panoramic view of a historic site,round-09,0.2355
Panoramic view of a historic site,round-09,0.2546
Panoramic view of a historic site,round-09,0.2544
Panoramic view of a historic site,round-09,0.2776
Panoramic view of a historic site,round-09,0.2798
Panoramic view of a historic site,round-09,0.2722
Panoramic view of a historic site,round-09,0.2241
Photo of an architectural heritage site,round-00,0.2703
Photo of an architectural heritage site,round-00,0.261
Photo of an architectural heritage site,round-00,0.2551
Photo of an architectural heritage site,round-00,0.2917
Photo of an architectural heritage site,round-00,0.2622
Photo of an architectural heritage site,round-00,0.244
Photo of an architectural heritage site,round-01,0.2559
Photo of an architectural heritage site,round-01,0.267
Photo of an architectural heritage site,round-01,0.2854
Photo of an architectural heritage site,round-01,0.26
Photo of an architectural heritage site,round-01,0.2715
Photo of an architectural heritage site,round-01,0.2925
Photo of an architectural heritage site,round-01,0.258
Photo of an architectural heritage site,round-01,0.2532
Photo of an architectural heritage site,round-02,0.274
Photo of an architectural heritage site,round-02,0.2825
Photo of an architectural heritage site,round-02,0.2178
Photo of an architectural heritage site,round-02,0.2615
Photo of an architectural heritage site,round-02,0.2479
Photo of an architectural heritage site,round-02,0.2896
Photo of an architectural heritage site,round-02,0.2502
Photo of an architectural heritage site,round-02,0.2651
Photo of an architectural heritage site,round-03,0.2805
Photo of an architectural heritage site,round-03,0.2588
Photo of an architectural heritage site,round-03,0.2744
Photo of an architectural heritage site,round-03,0.2642
Photo of an architectural heritage site,round-03,0.2874
Photo of an architectural heritage site,round-03,0.2603
Photo of an architectural heritage site,round-03,0.2515
Photo of an architectural heritage site,round-03,0.241
Photo of an architectural heritage site,round-04,0.2284
Photo of an architectural heritage site,round-04,0.256
Photo of an architectural heritage site,round-04,0.2319
Photo of an architectural heritage site,round-04,0.2659
