prompt name,ID,Result
Generate an image of a famous landmark,round-00,0.268
Generate an image of a famous landmark,round-00,0.2908
Generate an image of a famous landmark,round-00,0.302
Generate an image of a famous landmark,round-00,0.2712
Generate an image of a famous landmark,round-00,0.27
Generate an image of a famous landmark,round-00,0.2566
Generate an image of a famous landmark,round-00,0.252
Generate an image of a famous landmark,round-00,0.2676
Generate an image of a famous landmark,round-01,0.318
Generate an image of a famous landmark,round-01,0.1323
Generate an image of a famous landmark,round-01,0.1322
Generate an image of a famous landmark,round-01,0.2583
Generate an image of a famous landmark,round-01,0.2219
Generate an image of a famous landmark,round-01,0.3188
Generate an image of a famous landmark,round-01,0.2798
Generate an image of a famous landmark,round-01,0.2252
Generate an image of a famous landmark,round-02,0.2277
Generate an image of a famous landmark,round-02,0.1323
Generate an image of a famous landmark,round-02,0.3052
Generate an image of a famous landmark,round-02,0.2957
Generate an image of a famous landmark,round-02,0.2773
Generate an image of a famous landmark,round-02,0.2827
Generate an image of a famous landmark,round-02,0.3162
Generate an image of a famous landmark,round-02,0.2646
Generate an image of a famous landmark,round-03,0.2493
Generate an image of a famous landmark,round-03,0.1277
Generate an image of a famous landmark,round-03,0.2698
Generate an image of a famous landmark,round-03,0.2778
Generate an image of a famous landmark,round-03,0.2869
Generate an image of a famous landmark,round-03,0.249
Generate an image of a famous landmark,round-03,0.2966
Generate an image of a famous landmark,round-03,0.254
Generate an image of a famous landmark,round-04,0.2422
Generate an image of a famous landmark,round-04,0.277
Generate an image of a famous landmark,round-04,0.2834
Generate an image of a famous landmark,round-04,0.2795
Generate an image of a famous landmark,round-04,0.2035
Generate an image of a famous landmark,round-04,0.1323
Generate an image of a famous landmark,round-04,0.1323
Generate an image of a famous landmark,round-04,0.3013
Generate an image of a famous landmark,round-05,0.255
Generate an image of a famous landmark,round-05,0.2957
Generate an image of a famous landmark,round-05,0.285
Generate an image of a famous landmark,round-05,0.1323
Generate an image of a famous landmark,round-05,0.3154
Generate an image of a famous landmark,round-05,0.272
Generate an image of a famous landmark,round-05,0.2698
Generate an image of a famous landmark,round-05,0.2241
Generate an image of a famous landmark,round-06,0.2734
Generate an image of a famous landmark,round-06,0.2942
Generate an image of a famous landmark,round-06,0.2935
Generate an image of a famous landmark,round-06,0.2876
Generate an image of a famous landmark,round-06,0.2151
Generate an image of a famous landmark,round-06,0.252
Generate an image of a famous landmark,round-06,0.1277
Generate an image of a famous landmark,round-06,0.2401
Generate an image of a famous landmark,round-07,0.2225
Generate an image of a famous landmark,round-07,0.2188
Generate an image of a famous landmark,round-07,0.307
Generate an image of a famous landmark,round-07,0.2942
Generate an image of a famous landmark,round-07,0.3125
Generate an image of a famous landmark,round-07,0.289
Generate an image of a famous landmark,round-07,0.2542
Generate an image of a famous landmark,round-07,0.2245
Generate an image of a famous landmark,round-08,0.2413
Generate an image of a famous landmark,round-08,0.274
Generate an image of a famous landmark,round-08,0.287
Generate an image of a famous landmark,round-08,0.2678
Generate an image of a famous landmark,round-08,0.267
Generate an image of a famous landmark,round-08,0.269
Generate an image of a famous landmark,round-08,0.2915
Generate an image of a famous landmark,round-08,0.25
Generate an image of a famous landmark,round-09,0.2878
Generate an image of a famous landmark,round-09,0.2556
Generate an image of a famous landmark,round-09,0.2659
Generate an image of a famous landmark,round-09,0.274
Generate an image of a famous landmark,round-09,0.3013
Generate an image of a famous landmark,round-09,0.3093
Generate an image of a famous landmark,round-09,0.2695
Generate an image of a famous landmark,round-09,0.2612
High definition photo of a monument,round-00,0.26
High definition photo of a monument,round-00,0.2314
High definition photo of a monument,round-00,0.2625
High definition photo of a monument,round-00,0.2467
High definition photo of a monument,round-00,0.2443
High definition photo of a monument,round-00,0.2334
High definition photo of a monument,round-00,0.2222
High definition photo of a monument,round-00,0.2556
High definition photo of a monument,round-01,0.2368
High definition photo of a monument,round-01,0.2627
High definition photo of a monument,round-01,0.2472
High definition photo of a monument,round-01,0.241
High definition photo of a monument,round-01,0.2534
High definition photo of a monument,round-01,0.2598
High definition photo of a monument,round-01,0.2546
High definition photo of a monument,round-01,0.2615
High definition photo of a monument,round-02,0.2444
High definition photo of a monument,round-02,0.2703
High definition photo of a monument,round-02,0.2452
High definition photo of a monument,round-02,0.2688
High definition photo of a monument,round-02,0.257
High definition photo of a monument,round-02,0.253
High definition photo of a monument,round-02,0.2362
High definition photo of a monument,round-02,0.2603
High definition photo of a monument,round-03,0.2512
High definition photo of a monument,round-03,0.2512
High definition photo of a monument,round-03,0.2703
High definition photo of a monument,round-03,0.2454
High definition photo of a monument,round-03,0.2644
High definition photo of a monument,round-03,0.2372
High definition photo of a monument,round-03,0.252
High definition photo of a monument,round-03,0.262
High definition photo of a monument,round-04,0.2438
High definition photo of a monument,round-04,0.262
High definition photo of a monument,round-04,0.2573
High definition photo of a monument,round-04,0.2517
High definition photo of a monument,round-04,0.2238
High definition photo of a monument,round-04,0.27
High definition photo of a monument,round-04,0.2444
High definition photo of a monument,round-04,0.2544
High definition photo of a monument,round-05,0.265
High definition photo of a monument,round-05,0.2427
High definition photo of a monument,round-05,0.2472
High definition photo of a monument,round-05,0.2554
High definition photo of a monument,round-05,0.2449
High definition photo of a monument,round-05,0.2622
High definition photo of a monument,round-05,0.2515
High definition photo of a monument,round-05,0.2472
High definition photo of a monument,round-06,0.25
High definition photo of a monument,round-06,0.243
High definition photo of a monument,round-06,0.241
High definition photo of a monument,round-06,0.2517
High definition photo of a monument,round-06,0.2522
High definition photo of a monument,round-06,0.2517
High definition photo of a monument,round-06,0.2551
High definition photo of a monument,round-06,0.251
High definition photo of a monument,round-07,0.2346
High definition photo of a monument,round-07,0.2301
High definition photo of a monument,round-07,0.2352
High definition photo of a monument,round-07,0.258
High definition photo of a monument,round-07,0.2421
High definition photo of a monument,round-07,0.2583
High definition photo of a monument,round-07,0.2256
High definition photo of a monument,round-07,0.2313
High definition photo of a monument,round-08,0.263
High definition photo of a monument,round-08,0.2512
High definition photo of a monument,round-08,0.2367
High definition photo of a monument,round-08,0.2292
High definition photo of a monument,round-08,0.2496
High definition photo of a monument,round-08,0.2532
High definition photo of a monument,round-08,0.257
High definition photo of a monument,round-08,0.253
High definition photo of a monument,round-09,0.264
High definition photo of a monument,round-09,0.2369
High definition photo of a monument,round-09,0.2625
High definition photo of a monument,round-09,0.237
High definition photo of a monument,round-09,0.2559
High definition photo of a monument,round-09,0.2605
